response_id	response_raw	response_no	response_separate	code
20	"Workflow: It seems like preregistration has helped me to ""front-load"" project work, such that I spend more time thinking about how the hypothesis to be tested relates to the study design and analysis plan before the data are collected. In my experience, this has caused an increase in the quality of my work. Specifically, tightening the link between data - informative study design - informative analysis plan. However, I also completed my PhD and have learned a lot in academia at the same time as I've learned to use preregistration, so it's hard to evaluate the counterfactual (i.e., would my work be slightly less improved now if I'd never used preregistration - hard to tell). Data management: To be honest, the type of preregistration I've used (hypotheses, methods, and analysis plans) has not really affected the way I approach data management. That is, even in projects where preregistration hasn't been used, my data curating and sharing practices have been much the same. Quality of research: I guess I already addressed how preregistration has improved the quality of my work in the heading ""workflow"". I would like to report a negative experience about my use of preregistration (where it made the quality of my work actively worse), but honestly I can't think of any. The only downside to preregistration that I've experienced is cases where I've preregistered a suboptimal analysis plan (and this coming to light after data collection), resulting in me noting this sub-optimality in the writing up of the project for publication. This downside is purely to my self-interest though, as it probably exposes that I didn't think hard enough prior to data collection. I find it hard to believe I would've thought any harder in the absence of preregistration, so I don't judge this as negatively affecting the quality of my work. In fact, since it forces transparency, it's probably a bonus to the work overall!"	02	this has caused an increase in the quality of my work. Specifically, tightening the link between data - informative study design - informative analysis plan.	NA
20	"Workflow: It seems like preregistration has helped me to ""front-load"" project work, such that I spend more time thinking about how the hypothesis to be tested relates to the study design and analysis plan before the data are collected. In my experience, this has caused an increase in the quality of my work. Specifically, tightening the link between data - informative study design - informative analysis plan. However, I also completed my PhD and have learned a lot in academia at the same time as I've learned to use preregistration, so it's hard to evaluate the counterfactual (i.e., would my work be slightly less improved now if I'd never used preregistration - hard to tell). Data management: To be honest, the type of preregistration I've used (hypotheses, methods, and analysis plans) has not really affected the way I approach data management. That is, even in projects where preregistration hasn't been used, my data curating and sharing practices have been much the same. Quality of research: I guess I already addressed how preregistration has improved the quality of my work in the heading ""workflow"". I would like to report a negative experience about my use of preregistration (where it made the quality of my work actively worse), but honestly I can't think of any. The only downside to preregistration that I've experienced is cases where I've preregistered a suboptimal analysis plan (and this coming to light after data collection), resulting in me noting this sub-optimality in the writing up of the project for publication. This downside is purely to my self-interest though, as it probably exposes that I didn't think hard enough prior to data collection. I find it hard to believe I would've thought any harder in the absence of preregistration, so I don't judge this as negatively affecting the quality of my work. In fact, since it forces transparency, it's probably a bonus to the work overall!"	03	The only downside to preregistration that I've experienced is cases where I've preregistered a suboptimal analysis plan (and this coming to light after data collection), resulting in me noting this sub-optimality in the writing up of the project for publication. This downside is purely to my self-interest though, as it probably exposes that I didn't think hard enough prior to data collection.	NA
21	Due to the written (rather than just verbal) discussions and the opportunity to get their name on a preregistration, PIs and collaborators get more involved in the beginning of the conduction of the study. This ensures that the study is thoroughly discussed with an expert before it is conducted. Regarding the workflow: we now have a table of hypotheses and related planned analyses before testing. After testing we then conduct exactly those analyses and add a field with results to this very same table. This way we can ensure that we conduct every analysis we planned and that, if we decide to conduct additional tests, these are clearly marked as exploratory. I believe that the quality has improved in the sense that researcher degree of freedom are minimized. There may be quality problems if the preregistration did not initially choose the best analysis method (these can be solved with better preregistrations – we got better over time ;) – or by conducting additional exploratory analyses).	01	Due to the written (rather than just verbal) discussions and the opportunity to get their name on a preregistration, PIs and collaborators get more involved in the beginning of the conduction of the study. This ensures that the study is thoroughly discussed with an expert before it is conducted.	NA
21	Due to the written (rather than just verbal) discussions and the opportunity to get their name on a preregistration, PIs and collaborators get more involved in the beginning of the conduction of the study. This ensures that the study is thoroughly discussed with an expert before it is conducted. Regarding the workflow: we now have a table of hypotheses and related planned analyses before testing. After testing we then conduct exactly those analyses and add a field with results to this very same table. This way we can ensure that we conduct every analysis we planned and that, if we decide to conduct additional tests, these are clearly marked as exploratory. I believe that the quality has improved in the sense that researcher degree of freedom are minimized. There may be quality problems if the preregistration did not initially choose the best analysis method (these can be solved with better preregistrations – we got better over time ;) – or by conducting additional exploratory analyses).	02	we now have a table of hypotheses and related planned analyses before testing. After testing we then conduct exactly those analyses and add a field with results to this very same table. This way we can ensure that we conduct every analysis we planned and that, if we decide to conduct additional tests, these are clearly marked as exploratory.	NA
21	Due to the written (rather than just verbal) discussions and the opportunity to get their name on a preregistration, PIs and collaborators get more involved in the beginning of the conduction of the study. This ensures that the study is thoroughly discussed with an expert before it is conducted. Regarding the workflow: we now have a table of hypotheses and related planned analyses before testing. After testing we then conduct exactly those analyses and add a field with results to this very same table. This way we can ensure that we conduct every analysis we planned and that, if we decide to conduct additional tests, these are clearly marked as exploratory. I believe that the quality has improved in the sense that researcher degree of freedom are minimized. There may be quality problems if the preregistration did not initially choose the best analysis method (these can be solved with better preregistrations – we got better over time ;) – or by conducting additional exploratory analyses).	03	I believe that the quality has improved in the sense that researcher degree of freedom are minimized. There may be quality problems if the preregistration did not initially choose the best analysis method (these can be solved with better preregistrations – we got better over time ;) – or by conducting additional exploratory analyses).	NA
22	Workflow: Pro: Pre-registration forces you to be precise in your thinking and measurement and creates commitment for the researcher. Con: Working with pre-registration typically takes much longer for two reasons: 1) there’s additional administrative stuff that needs to be done (e.g., filling in forms etc.) which takes a lot of time and reduces productivity compared to people who don’t do it, 2) it is more costly to do research because studies have to be run multiple times. Data management: There’s not much difference in my experience. I aim to upload data and materials to OSF anyway. Quality of research: Pro: Pre-reg reduces the likelihood of using false positives in your research because it forces you to use fewer measures. Con: Pre-reg (the way it’s currently propagated) is not very practical for complex samples (e.g., ESM studies, multi-wave studies, costly professional samples) where the hypothesis is not always clear in advance and you only have one opportunity to collect all the measures you suspect could be affected.	01	Pre-registration forces you to be precise in your thinking and measurement and creates commitment for the researcher	NA
22	Workflow: Pro: Pre-registration forces you to be precise in your thinking and measurement and creates commitment for the researcher. Con: Working with pre-registration typically takes much longer for two reasons: 1) there’s additional administrative stuff that needs to be done (e.g., filling in forms etc.) which takes a lot of time and reduces productivity compared to people who don’t do it, 2) it is more costly to do research because studies have to be run multiple times. Data management: There’s not much difference in my experience. I aim to upload data and materials to OSF anyway. Quality of research: Pro: Pre-reg reduces the likelihood of using false positives in your research because it forces you to use fewer measures. Con: Pre-reg (the way it’s currently propagated) is not very practical for complex samples (e.g., ESM studies, multi-wave studies, costly professional samples) where the hypothesis is not always clear in advance and you only have one opportunity to collect all the measures you suspect could be affected.	02	Working with pre-registration typically takes much longer for two reasons: 1) there’s additional administrative stuff that needs to be done (e.g., filling in forms etc.) which takes a lot of time and reduces productivity compared to people who don’t do it	NA
22	Workflow: Pro: Pre-registration forces you to be precise in your thinking and measurement and creates commitment for the researcher. Con: Working with pre-registration typically takes much longer for two reasons: 1) there’s additional administrative stuff that needs to be done (e.g., filling in forms etc.) which takes a lot of time and reduces productivity compared to people who don’t do it, 2) it is more costly to do research because studies have to be run multiple times. Data management: There’s not much difference in my experience. I aim to upload data and materials to OSF anyway. Quality of research: Pro: Pre-reg reduces the likelihood of using false positives in your research because it forces you to use fewer measures. Con: Pre-reg (the way it’s currently propagated) is not very practical for complex samples (e.g., ESM studies, multi-wave studies, costly professional samples) where the hypothesis is not always clear in advance and you only have one opportunity to collect all the measures you suspect could be affected.	03	it is more costly to do research because studies have to be run multiple times.	NA
22	Workflow: Pro: Pre-registration forces you to be precise in your thinking and measurement and creates commitment for the researcher. Con: Working with pre-registration typically takes much longer for two reasons: 1) there’s additional administrative stuff that needs to be done (e.g., filling in forms etc.) which takes a lot of time and reduces productivity compared to people who don’t do it, 2) it is more costly to do research because studies have to be run multiple times. Data management: There’s not much difference in my experience. I aim to upload data and materials to OSF anyway. Quality of research: Pro: Pre-reg reduces the likelihood of using false positives in your research because it forces you to use fewer measures. Con: Pre-reg (the way it’s currently propagated) is not very practical for complex samples (e.g., ESM studies, multi-wave studies, costly professional samples) where the hypothesis is not always clear in advance and you only have one opportunity to collect all the measures you suspect could be affected.	04	Quality of research: Pro: Pre-reg reduces the likelihood of using false positives in your research because it forces you to use fewer measures	NA
22	Workflow: Pro: Pre-registration forces you to be precise in your thinking and measurement and creates commitment for the researcher. Con: Working with pre-registration typically takes much longer for two reasons: 1) there’s additional administrative stuff that needs to be done (e.g., filling in forms etc.) which takes a lot of time and reduces productivity compared to people who don’t do it, 2) it is more costly to do research because studies have to be run multiple times. Data management: There’s not much difference in my experience. I aim to upload data and materials to OSF anyway. Quality of research: Pro: Pre-reg reduces the likelihood of using false positives in your research because it forces you to use fewer measures. Con: Pre-reg (the way it’s currently propagated) is not very practical for complex samples (e.g., ESM studies, multi-wave studies, costly professional samples) where the hypothesis is not always clear in advance and you only have one opportunity to collect all the measures you suspect could be affected.	05	Con: Pre-reg (the way it’s currently propagated) is not very practical for complex samples (e.g., ESM studies, multi-wave studies, costly professional samples) where the hypothesis is not always clear in advance and you only have one opportunity to collect all the measures you suspect could be affected.	NA
23	I have noted the following differences with regard to my experience with studies that are preregistered vs not preregistered: Compared to studies that were not preregistered, in preregistered studies: -I spent more time thinking about the expected effect size (or smallest effect size of interest) before doing analyses, which is related to the fact that I did more detailed power analyses in preregistered studies. -I shift more of the work to the stage before data-collection/analyses, but save time doing and reporting the analyses. -I Feel more confident about my decisions during the analytic process. Deviating from the original planned analyses feels less wrong, because of the requirement to report the deviations. This transparency reduces my fear of making decisions because of confirmation bias without others being able to evaluate my decisions. -Related, preregistrations, helped me keeping track of which tests were confirmatory and which analyses were exploratory. Without a preregistration, this distinction may be hard to make, especially when work on the paper spans several months or years. It is easy to forget which analyses were planned, and which were carried out after initial data analyses.	01	I spent more time thinking about the expected effect size (or smallest effect size of interest) before doing analyses, which is related to the fact that I did more detailed power analyses in preregistered studies.	NA
23	I have noted the following differences with regard to my experience with studies that are preregistered vs not preregistered: Compared to studies that were not preregistered, in preregistered studies: -I spent more time thinking about the expected effect size (or smallest effect size of interest) before doing analyses, which is related to the fact that I did more detailed power analyses in preregistered studies. -I shift more of the work to the stage before data-collection/analyses, but save time doing and reporting the analyses. -I Feel more confident about my decisions during the analytic process. Deviating from the original planned analyses feels less wrong, because of the requirement to report the deviations. This transparency reduces my fear of making decisions because of confirmation bias without others being able to evaluate my decisions. -Related, preregistrations, helped me keeping track of which tests were confirmatory and which analyses were exploratory. Without a preregistration, this distinction may be hard to make, especially when work on the paper spans several months or years. It is easy to forget which analyses were planned, and which were carried out after initial data analyses.	02	I shift more of the work to the stage before data-collection/analyses, but save time doing and reporting the analyses.	NA
23	I have noted the following differences with regard to my experience with studies that are preregistered vs not preregistered: Compared to studies that were not preregistered, in preregistered studies: -I spent more time thinking about the expected effect size (or smallest effect size of interest) before doing analyses, which is related to the fact that I did more detailed power analyses in preregistered studies. -I shift more of the work to the stage before data-collection/analyses, but save time doing and reporting the analyses. -I Feel more confident about my decisions during the analytic process. Deviating from the original planned analyses feels less wrong, because of the requirement to report the deviations. This transparency reduces my fear of making decisions because of confirmation bias without others being able to evaluate my decisions. -Related, preregistrations, helped me keeping track of which tests were confirmatory and which analyses were exploratory. Without a preregistration, this distinction may be hard to make, especially when work on the paper spans several months or years. It is easy to forget which analyses were planned, and which were carried out after initial data analyses.	03	I Feel more confident about my decisions during the analytic process. Deviating from the original planned analyses feels less wrong, because of the requirement to report the deviations. This transparency reduces my fear of making decisions because of confirmation bias without others being able to evaluate my decisions.	NA
23	I have noted the following differences with regard to my experience with studies that are preregistered vs not preregistered: Compared to studies that were not preregistered, in preregistered studies: -I spent more time thinking about the expected effect size (or smallest effect size of interest) before doing analyses, which is related to the fact that I did more detailed power analyses in preregistered studies. -I shift more of the work to the stage before data-collection/analyses, but save time doing and reporting the analyses. -I Feel more confident about my decisions during the analytic process. Deviating from the original planned analyses feels less wrong, because of the requirement to report the deviations. This transparency reduces my fear of making decisions because of confirmation bias without others being able to evaluate my decisions. -Related, preregistrations, helped me keeping track of which tests were confirmatory and which analyses were exploratory. Without a preregistration, this distinction may be hard to make, especially when work on the paper spans several months or years. It is easy to forget which analyses were planned, and which were carried out after initial data analyses.	04	Related, preregistrations, helped me keeping track of which tests were confirmatory and which analyses were exploratory. Without a preregistration, this distinction may be hard to make, especially when work on the paper spans several months or years. It is easy to forget which analyses were planned, and which were carried out after initial data analyses	NA
24	Since 2017, I have pre-registered every study on which I am lead or senior author. I think pre-registered studies are planned more thoroughly before data are collected. For example, it makes it easier for power analyses to be conducted, because the precise data-analytical approach is decided before data are collected. As we are juggling multiple projects, I find pre-registration improves my management of projects; at any time I can refer to the pre-reg document to remind myself of our approach and hypotheses. I don’t find any difference in the management of the empirical data collected. In terms of quality, I think when our a priori predictions are supported, the findings are more compelling (than if we had not pre-registered). This is because it signals to others that these were indeed the effects that we predicted at the outset. From observing the work of others, however, I think it is important that the pre-registration is considered and contains enough information such that people can assess if the pre-reg was followed. Basically, I think that the quality of the pre-reg is very important, and sometimes this can take a long time. Saying that, once the details of the pre-reg are considered, this can speed up the writing and analysis when the data are collected (the hard work determining analytical approach has already been completed).	01	I think pre-registered studies are planned more thoroughly before data are collected. For example, it makes it easier for power analyses to be conducted, because the precise data-analytical approach is decided before data are collected	NA
24	Since 2017, I have pre-registered every study on which I am lead or senior author. I think pre-registered studies are planned more thoroughly before data are collected. For example, it makes it easier for power analyses to be conducted, because the precise data-analytical approach is decided before data are collected. As we are juggling multiple projects, I find pre-registration improves my management of projects; at any time I can refer to the pre-reg document to remind myself of our approach and hypotheses. I don’t find any difference in the management of the empirical data collected. In terms of quality, I think when our a priori predictions are supported, the findings are more compelling (than if we had not pre-registered). This is because it signals to others that these were indeed the effects that we predicted at the outset. From observing the work of others, however, I think it is important that the pre-registration is considered and contains enough information such that people can assess if the pre-reg was followed. Basically, I think that the quality of the pre-reg is very important, and sometimes this can take a long time. Saying that, once the details of the pre-reg are considered, this can speed up the writing and analysis when the data are collected (the hard work determining analytical approach has already been completed).	02	As we are juggling multiple projects, I find pre-registration improves my management of projects; at any time I can refer to the pre-reg document to remind myself of our approach and hypotheses	NA
24	Since 2017, I have pre-registered every study on which I am lead or senior author. I think pre-registered studies are planned more thoroughly before data are collected. For example, it makes it easier for power analyses to be conducted, because the precise data-analytical approach is decided before data are collected. As we are juggling multiple projects, I find pre-registration improves my management of projects; at any time I can refer to the pre-reg document to remind myself of our approach and hypotheses. I don’t find any difference in the management of the empirical data collected. In terms of quality, I think when our a priori predictions are supported, the findings are more compelling (than if we had not pre-registered). This is because it signals to others that these were indeed the effects that we predicted at the outset. From observing the work of others, however, I think it is important that the pre-registration is considered and contains enough information such that people can assess if the pre-reg was followed. Basically, I think that the quality of the pre-reg is very important, and sometimes this can take a long time. Saying that, once the details of the pre-reg are considered, this can speed up the writing and analysis when the data are collected (the hard work determining analytical approach has already been completed).	03	Saying that, once the details of the pre-reg are considered, this can speed up the writing and analysis when the data are collected (the hard work determining analytical approach has already been completed).	NA
24	Since 2017, I have pre-registered every study on which I am lead or senior author. I think pre-registered studies are planned more thoroughly before data are collected. For example, it makes it easier for power analyses to be conducted, because the precise data-analytical approach is decided before data are collected. As we are juggling multiple projects, I find pre-registration improves my management of projects; at any time I can refer to the pre-reg document to remind myself of our approach and hypotheses. I don’t find any difference in the management of the empirical data collected. In terms of quality, I think when our a priori predictions are supported, the findings are more compelling (than if we had not pre-registered). This is because it signals to others that these were indeed the effects that we predicted at the outset. From observing the work of others, however, I think it is important that the pre-registration is considered and contains enough information such that people can assess if the pre-reg was followed. Basically, I think that the quality of the pre-reg is very important, and sometimes this can take a long time. Saying that, once the details of the pre-reg are considered, this can speed up the writing and analysis when the data are collected (the hard work determining analytical approach has already been completed).	04	I think when our a priori predictions are supported, the findings are more compelling (than if we had not pre-registered). This is because it signals to others that these were indeed the effects that we predicted at the outset. From observing the work of others, however, I think it is important that the pre-registration is considered and contains enough information such that people can assess if the pre-reg was followed. Basically, I think that the quality of the pre-reg is very important, and sometimes this can take a long time.	NA
25	Pre-registration has smoothed my workflow by forcing me to plan my research to a much finer degree than before. Regarding data analysis, the planning stage has also facilitated a habit of data simulation, so I can pre-register my R code. This is incredibly valuable. Regarding data management, it has made no obvious impact. I believe the quality of my research has been greatly enhanced. I find holding myself accountable very valuable. I also find it incredibly useful to protect my work against post-hoc reviewers (#notallreviewers, of course), but there's always some who tell me (and my colleagues) that the hypotheses don't match the data. A pre-reg document is useful in that situation. (However, I am happy to yield to superior analyses if suggested by a reviewer, with full declaration, of course). I've also found it useful to have my junior colleagues in ... less ideal labs ... to pre-register their projects, to avoid old-school researchers asking them to be selective in their reporting, or to make claims (wilfully, or forgetfully) about certain hypotheses or planned analyses.	01	Pre-registration has smoothed my workflow by forcing me to plan my research to a much finer degree than before.	NA
25	Pre-registration has smoothed my workflow by forcing me to plan my research to a much finer degree than before. Regarding data analysis, the planning stage has also facilitated a habit of data simulation, so I can pre-register my R code. This is incredibly valuable. Regarding data management, it has made no obvious impact. I believe the quality of my research has been greatly enhanced. I find holding myself accountable very valuable. I also find it incredibly useful to protect my work against post-hoc reviewers (#notallreviewers, of course), but there's always some who tell me (and my colleagues) that the hypotheses don't match the data. A pre-reg document is useful in that situation. (However, I am happy to yield to superior analyses if suggested by a reviewer, with full declaration, of course). I've also found it useful to have my junior colleagues in ... less ideal labs ... to pre-register their projects, to avoid old-school researchers asking them to be selective in their reporting, or to make claims (wilfully, or forgetfully) about certain hypotheses or planned analyses.	02	Regarding data analysis, the planning stage has also facilitated a habit of data simulation, so I can pre-register my R code. This is incredibly valuable.	NA
