StartDate	EndDate	Status	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	DistributionChannel	UserLanguage	informed_consent	group_sorting_1	group_sorting_2	group_sorting_3	group_sorting_4	group_sorting_5	control_hypothesis	control_design	control_analysis	control_rdm	control_workflow	control_attention	control_collab	control_preparatory	control_duration	control_stress	control_qrp	prereg_hypothesis	prereg_design	prereg_analysis	prereg_rmd	prereg_workflow	prereg_attention	prereg_collab	prereg_preparatory	prereg_duration	prereg_stress	prereg_qrp	rr_hypothesis	rr_design	rr_analysis	rr_rmd	rr_workflow	rr_attention	rr_collab	rr_preparatory	rr_duration	rr_stress	rr_qrp	other_hypothesis	other_desing	other_analysis	other_rdm	other_workflow	other_attention	other_collab	other_preparatory	other_duration	other_stress	other_qrp	planning	recommend	research_type	research_type_6_TEXT	field	group	comment	changed_comment
2020-01-17 10:08:06	2020-01-17 10:11:51	IP Address	100	224	True	2020-01-17 10:11:51	R_2amXG7udUh35vJq	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	"4
Did not change"	"7
Got more thought-through"	5	5	"4
Four"	6	5	3	"4
Did not change"	Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frequently	Very Strongly Agree	Hypothesis testing	NA	cognitive psychology	prereg	A major consequence of preregistration has been to increase sample sizes.	NA
2020-01-17 10:23:37	2020-01-17 10:25:32	IP Address	100	115	True	2020-01-17 10:25:33	R_3agkMwoyuOxtTl7	email	EN	Yes	No	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	6	6	"4
Did not change"	"4
Did not change"	"4
Four"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sometimes	Agree	Hypothesis testing	NA	Social Psychology; Sexuality	prereg	NA	NA
2020-01-17 10:23:59	2020-01-17 10:36:47	IP Address	100	767	True	2020-01-17 10:36:47	R_ReQbuKsx2C4zpPX	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	"4
Did not change"	5	6	6	"4
Four"	"4
Did not change"	"4
Did not change"	3	3	Neither Agree or Disagree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Strongly Agree	Hypothesis testing	NA	Cognitive psychology	prereg	NA	NA
2020-01-17 11:03:26	2020-01-17 11:15:09	IP Address	100	703	True	2020-01-17 11:15:10	R_2Bzi3UwteDnUVg6	email	EN	Yes	Yes	Yes	Yes	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	"7
Got more thought-through"	"7
Got more thought-through"	5	5	"4
Four"	"4
Did not change"	5	5	"7
Was reduced"	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frequently	Very Strongly Agree	Hypothesis testing	NA	Social psychology	prereg	Having the In Principle Acceptance and knowing that your results will be published regardless of the results, and knowing that you don't need to touch the introduction and methods part again was very liberating.	NA
2020-01-17 11:55:32	2020-01-17 11:57:29	IP Address	100	117	True	2020-01-17 11:57:29	R_29hqYowf6Ym6Mkg	email	EN	Yes	No	Yes	No	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Four"	"7
Got better"	"7
Improved"	5	"7
Was reduced"	Very Strongly Agree	Always	Strongly Agree	Hypothesis testing	NA	experimental psychology	other	NA	NA
2020-01-17 13:22:30	2020-01-17 13:27:22	IP Address	100	291	True	2020-01-17 13:27:22	R_2QtYRaJcbQFcnIS	email	EN	Yes	Yes	Yes	Yes	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	5	"4
Four"	"7
Got better"	"7
Improved"	3	"4
Did not change"	Very Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Strongly Agree	Hypothesis testing	NA	evolutionary psychology	prereg	"It would have been better if you have given a clearer definition of ""preregistered study"" and ""registered report"" at the beginning of the survey."	NA
2020-01-17 14:24:25	2020-01-17 14:29:15	IP Address	100	290	True	2020-01-17 14:29:16	R_2wviPly3YQzmPqY	email	EN	Yes	No	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Four"	"4
Did not change"	5	"4
Did not change"	2	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sometimes	Agree	Hypothesis testing	NA	clinical psychology	prereg	NA	NA
2020-01-17 15:13:50	2020-01-17 15:18:01	IP Address	100	250	True	2020-01-17 15:18:01	R_2TvfevvUaXHQnFE	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	Not applicable	"7
Got more thought-through"	Not applicable	5	"4
Four"	6	"7
Improved"	"4
Did not change"	6	Very Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Strongly Agree	Hypothesis testing	NA	Clinical/Developmental psychology	prereg	I am very excited about all open science practices and hope to encourage others to participate. Additionally, I look forward to new processes to make this easier for everyone to implement.	NA
2020-01-17 16:03:00	2020-01-17 16:04:50	IP Address	100	110	True	2020-01-17 16:04:50	R_2wSjccM17GeQh65	email	EN	Yes	No	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Four"	"4
Did not change"	"4
Did not change"	3	"4
Did not change"	Neither Agree or Disagree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frequently	Agree	Hypothesis testing	NA	Social/personality psychology	prereg	NA	NA
2020-01-17 16:32:53	2020-01-17 16:38:07	IP Address	100	313	True	2020-01-17 16:38:07	R_88HxJ3rRIHCQo8N	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	5	5	"4
Did not change"	"4
Did not change"	"4
Four"	"4
Did not change"	5	3	3	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frequently	Agree	Hypothesis testing	NA	organizational behavior	prereg	NA	NA
2020-01-17 17:37:22	2020-01-17 17:41:09	IP Address	100	227	True	2020-01-17 17:41:10	R_2rIuRPu6H0vk1hK	email	EN	Yes	Yes	Yes	Yes	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	"4
Did not change"	"7
Got more thought-through"	5	6	"4
Four"	5	6	"4
Did not change"	3	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Very Strongly Agree	Hypothesis testing	NA	Social Psychology	prereg	Good luck with your study! Looking forward to seeing the results.	NA
2020-01-17 18:10:43	2020-01-17 18:13:23	IP Address	100	159	True	2020-01-17 18:13:23	R_3Olv2hCJzD1VErq	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	"4
Did not change"	"4
Did not change"	5	"4
Did not change"	"4
Four"	"4
Did not change"	"4
Did not change"	3	"4
Did not change"	Disagree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Very Strongly Agree	Other	Observational	Social psychology	prereg	NA	NA
2020-01-17 18:33:01	2020-01-17 18:36:33	IP Address	100	211	True	2020-01-17 18:36:33	R_xbVt6VHYoVXUtO1	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	5	"7
Got more thought-through"	"7
Got more thought-through"	5	"4
Four"	5	"4
Did not change"	3	"4
Did not change"	Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Strongly Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA
2020-01-17 18:33:42	2020-01-17 18:38:26	IP Address	100	283	True	2020-01-17 18:38:26	R_ZsDWej70K6WIWqJ	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	"4
Did not change"	3	"4
Did not change"	"4
Did not change"	"4
Four"	"4
Did not change"	5	"4
Did not change"	5	Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Very Strongly Agree	Hypothesis testing	NA	Neuroscience	prereg	NA	NA
2020-01-16 21:25:01	2020-01-17 19:29:15	IP Address	100	79453	True	2020-01-17 19:29:15	R_3r1WNUyPtbMhcDf	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	"4
Did not change"	"7
Got more thought-through"	"4
Did not change"	"4
Did not change"	"4
Four"	5	6	3	"4
Did not change"	Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sometimes	Agree	Hypothesis testing	NA	affective neuroscience	prereg	NA	NA
2020-01-17 19:39:17	2020-01-17 19:42:19	IP Address	100	181	True	2020-01-17 19:42:19	R_ukwh5Yz8FlgrVvP	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	"4
Did not change"	5	"4
Did not change"	"4
Did not change"	"4
Four"	"4
Did not change"	"4
Did not change"	"4
Did not change"	3	Very Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Strongly Agree	Hypothesis testing	NA	decision making	prereg	The questions on the previous page would've been easier to interpret if you had asked if those things had ever happened, or ask about what usually happens. And which scale anchors were on the left or right were sometimes confusing/surprising across questions.	NA
2020-01-17 21:30:32	2020-01-17 21:32:09	IP Address	100	96	True	2020-01-17 21:32:09	R_1isTAD0RnC7YoBY	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	5	"4
Four"	5	5	2	"4
Did not change"	Neither Agree or Disagree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frequently	Agree	Estimation	NA	Social Psychology	prereg	NA	NA
2020-01-17 23:47:41	2020-01-17 23:49:26	IP Address	100	105	True	2020-01-17 23:49:27	R_24dQPmbjN63jaNt	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	6	6	6	5	"4
Four"	6	5	3	3	Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Very Strongly Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA
2020-01-18 02:57:04	2020-01-18 03:01:02	IP Address	100	237	True	2020-01-18 03:01:03	R_31GGDVwMOkpi0qZ	email	EN	Yes	Yes	Yes	No	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	6	6	5	5	"4
Four"	5	6	3	3	Strongly Agree	Usually	Agree	Hypothesis testing	NA	Social Psychology	other	Registered Reports involve even more beneficial thinking.	NA
2020-01-19 01:42:20	2020-01-19 01:46:00	IP Address	100	219	True	2020-01-19 01:46:00	R_27DQQy60GkzSXzM	email	EN	Yes	No	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	6	6	6	6	"4
Four"	5	"4
Did not change"	2	"1
Was increased"	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frequently	Strongly Agree	Hypothesis testing	NA	Computational neuroscience	prereg	Preregistration is helpful but we must remember that it is not a panacea	NA
2020-01-19 18:09:49	2020-01-19 18:23:46	IP Address	100	836	True	2020-01-19 18:23:46	R_1JVZN4sHSBZG4C2	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Four"	"7
Got better"	"7
Improved"	2	"1
Was increased"	Very Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Strongly Agree	Hypothesis testing	NA	Social Psychology- focus is on sex and relationships	prereg	NA	NA
2020-01-19 23:59:57	2020-01-20 00:06:59	IP Address	100	422	True	2020-01-20 00:06:59	R_2uE3C20kj0Wz9TT	email	EN	Yes	Yes	Yes	Yes	Yes	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5	5	5	5	"4
Four"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Strongly Agree	Hypothesis testing	NA	Cognitive Neuroscience	prereg	NA	NA
2020-01-20 08:06:28	2020-01-20 08:08:04	IP Address	100	96	True	2020-01-20 08:08:04	R_2f2J8gyUq8CyL6K	email	EN	Yes	Yes	Yes	Yes	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	5	5	6	6	"4
Four"	5	5	5	5	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Strongly Agree	Hypothesis testing	NA	Cognitive psychology	prereg	NA	NA
2020-01-20 10:10:13	2020-01-20 10:14:09	IP Address	100	235	True	2020-01-20 10:14:09	R_1PdEszbb67x2zkL	email	EN	Yes	No	Yes	No	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	5	"7
Got more thought-through"	"7
Got more thought-through"	6	"4
Four"	6	6	2	"4
Did not change"	Very Strongly Agree	Always	Agree	Hypothesis testing	NA	media psychology, cognitive psychology	other	NA	NA
2020-01-20 10:44:46	2020-01-20 10:47:34	IP Address	100	168	True	2020-01-20 10:47:35	R_vwwAEd7lzqINNL3	email	EN	Yes	Yes	Yes	Yes	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	6	"7
Got more thought-through"	"4
Did not change"	5	"4
Four"	I do not know	"7
Improved"	"4
Did not change"	5	Very Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Very Strongly Agree	Hypothesis testing	NA	Social Psychology	prereg	NA	NA
2020-01-20 11:09:55	2020-01-20 11:13:51	IP Address	100	235	True	2020-01-20 11:13:51	R_1eY6ADYVaDA8RUL	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	"4
Did not change"	"4
Did not change"	6	6	"4
Four"	"4
Did not change"	6	"4
Did not change"	3	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Strongly Agree	Hypothesis testing	NA	cognitive psychology	prereg	NA	NA
2020-01-20 11:18:23	2020-01-20 11:20:26	IP Address	100	122	True	2020-01-20 11:20:27	R_3F3Pe8OBbYzsxvx	email	EN	Yes	Yes	Yes	Yes	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	6	"7
Got more thought-through"	5	"7
Got more thought-through"	"4
Four"	5	"7
Improved"	"4
Did not change"	3	Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Very Strongly Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA
2020-01-20 12:26:53	2020-01-20 12:31:53	IP Address	100	300	True	2020-01-20 12:31:53	R_qOY9ihKI8MFiFnH	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	"4
Did not change"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	"4
Four"	"4
Did not change"	"7
Improved"	6	"4
Did not change"	Very Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Strongly Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA
2020-01-20 12:35:19	2020-01-20 12:38:31	IP Address	100	191	True	2020-01-20 12:38:31	R_vH289TqtwvXNQfD	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	6	5	"4
Did not change"	5	"4
Four"	"7
Got better"	6	3	"4
Did not change"	Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Very Strongly Agree	Hypothesis testing	NA	Social Psychology	prereg	Open science practices (including but not limited to preregistration) helped me get my current faculty job. For younger researchers who may worry that the extra effort and time will delay their career progress, I feel it is important that they know how much open science practices are increasingly valued by hiring committees.	NA
2020-01-20 14:07:04	2020-01-20 14:09:05	IP Address	100	121	True	2020-01-20 14:09:05	R_1IzamLlhxOcesXw	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	6	"7
Got more thought-through"	5	"4
Did not change"	"4
Four"	"4
Did not change"	"7
Improved"	I do not know	I do not know	Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Very Strongly Agree	Hypothesis testing	NA	sport science; experimental psychology	prereg	NA	NA
2020-01-20 19:01:33	2020-01-20 19:05:44	IP Address	100	251	True	2020-01-20 19:05:44	R_1JFRANFOfFT1gD9	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	"4
Four"	"4
Did not change"	"4
Did not change"	2	3	Very Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Very Strongly Agree	Other	"I don't have a ""mainly"" type of research, but mostly NHST and Estimation for confirmatory or exploratory research"	social psychology	prereg	it helps us recognize what decisions need to be made. There were a few moments where it required me to do much more work for very little gain, but it also prohibited me to complete sloppy work.	NA
2020-01-20 20:29:18	2020-01-20 20:35:05	IP Address	100	347	True	2020-01-20 20:35:05	R_21agB31b9EVmLGP	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	6	"7
Got more thought-through"	5	6	"4
Four"	6	6	"4
Did not change"	"4
Did not change"	Very Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Very Strongly Agree	Hypothesis testing	NA	Cognitive and social psychology	prereg	After what I've seen in my field, I don't trust any research that isn't preregistered. And I don't trust any research who pushes back against preregistration.	NA
2020-01-21 11:34:59	2020-01-21 11:36:48	IP Address	100	108	True	2020-01-21 11:36:49	R_3oZA2TQovqHZAJK	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	5	"4
Did not change"	3	"4
Four"	"4
Did not change"	"4
Did not change"	3	3	Very Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Strongly Agree	Hypothesis testing	NA	Attentional Bias	prereg	NA	NA
2020-01-21 11:34:39	2020-01-21 11:36:57	IP Address	100	138	True	2020-01-21 11:36:58	R_2rVfKkNyzsDaKu5	email	EN	Yes	Yes	Yes	No	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	6	"7
Got more thought-through"	"4
Did not change"	6	"4
Four"	5	6	3	5	Agree	Usually	Agree	Hypothesis testing	NA	Legal psychology	other	NA	NA
2020-01-21 11:37:31	2020-01-21 11:39:19	IP Address	100	107	True	2020-01-21 11:39:19	R_32XWh9aX5EKrZXV	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	"4
Did not change"	"7
Got more thought-through"	5	5	"4
Four"	"4
Did not change"	I do not know	2	5	Very Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Strongly Agree	Hypothesis testing	NA	cognitive	prereg	NA	NA
2020-01-21 11:36:05	2020-01-21 11:41:02	IP Address	100	296	True	2020-01-21 11:41:02	R_2c8dLOR6rgINBzN	email	EN	Yes	Yes	Yes	Yes	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	5	"7
Got more thought-through"	"4
Four"	"4
Did not change"	"7
Improved"	"1
Was longer"	3	Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Strongly Agree	Other	NA	methodological psychology	prereg	NA	NA
2020-01-21 11:35:42	2020-01-21 11:43:57	IP Address	100	494	True	2020-01-21 11:43:57	R_1rp2Bgt6xrvGjf3	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	"4
Did not change"	5	"4
Did not change"	"4
Did not change"	"4
Four"	"4
Did not change"	"4
Did not change"	3	3	Neither Agree or Disagree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sometimes	Neither Agree or Disagree	Hypothesis testing	NA	cognitive psychology	prereg	"Generally speaking, preregistration is a good idea. However, what really Needs to Change is the attitude of Researchers and the community. If everyone is focused on Publishing as much as possible, because Publishing as much as possible is the precondition for an academic Career, introducing preregistrations is not enough. It is so easy to Register different plans for the same study and to remain silent About that. Of Course this is not the Right Thing to do, but the same People who used questionable Research practices before, will easily find ways to transform preregistrations into a questionable (or at least worthless) Research practice. In case this happened, however, a collective expectation that one preregisters one's studies would only be a bureaucratic burden for ""honest"" Researchers and not a way of stopping questionable Research practices."	NA
2020-01-21 11:41:28	2020-01-21 11:44:59	IP Address	100	211	True	2020-01-21 11:44:59	R_10PGaJYGZFZ5Ndh	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	"4
Did not change"	"4
Did not change"	5	I do not know	"4
Four"	"4
Did not change"	"4
Did not change"	2	"1
Was increased"	Neither Agree or Disagree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sometimes	Neither Agree or Disagree	Hypothesis testing	NA	Cognitive Psychology	prereg	NA	NA
2020-01-21 11:43:13	2020-01-21 11:46:13	IP Address	100	179	True	2020-01-21 11:46:13	R_cv8SAMeLpk0ITzH	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	6	"4
Four"	"7
Got better"	"7
Improved"	3	"4
Did not change"	Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Strongly Agree	Estimation	NA	behavioral genetics, behavioral economics	prereg	NA	NA
2020-01-21 11:35:20	2020-01-21 11:46:28	IP Address	100	667	True	2020-01-21 11:46:28	R_2whND03jSwhMU4p	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	6	6	"4
Did not change"	"4
Did not change"	"4
Four"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Agree	Hypothesis testing	NA	Experimental clinical psychology	prereg	NA	NA
2020-01-21 11:43:08	2020-01-21 11:48:12	IP Address	100	303	True	2020-01-21 11:48:12	R_30qo0Lbl91jAP0m	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	5	5	"7
Got more thought-through"	"7
Got more thought-through"	"4
Four"	"4
Did not change"	"7
Improved"	3	"4
Did not change"	Neither Agree or Disagree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frequently	Strongly Agree	Hypothesis testing	NA	organizational behvior	prereg	I find pre-registration very helpful for myself. Currently I have only done it for lab studies and not for field studies, although I plan it in the future.	NA
2020-01-21 11:45:44	2020-01-21 11:48:31	IP Address	100	167	True	2020-01-21 11:48:32	R_2qrTKgi3gF1DAFS	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	"4
Did not change"	5	"4
Did not change"	"4
Did not change"	"4
Four"	"4
Did not change"	"7
Improved"	3	"4
Did not change"	Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sometimes	Agree	Hypothesis testing	NA	cognitive neuroscience	prereg	NA	NA
