response_id	comment	evaluation	main_points	suggestions_for_improvement	group_Marton	group_Alex
R_2fkEcLpiI97DDdU	the response scales were occasionally a bit confusing because the direction would switch from question to question Good luck with your work!	-			na	-
R_QbnBhTDDADKHmgh	I fully subscribe to improving science's standards and transparency. Hence, why I engage in pre-registration usually. Of course it is important to improve the behaviour of the individual scientist. However, unless we rid science from the publication for-profit industry and educate our universities not to use the incentive structure that still very much determines who gets hired and who gets promoted based on where researchers publish rather than what they publish, I am afraid we have left the big elephant in the room untouched. I expect from senior and influential colleagues around the world to proactively address this systemic disaster. Solutions are there. For example, universities could develop a non-profit publication consortium and make the private exploitative publishing companies redundant. Please let's expand our surveys about pre-registration and replication beyond the individual researcher and include questions and spaces to reflect what I fear is an even bigger problem. My best wishes.	mixed	improves credibility; does not address real issue		with the current publication system prereg is still not a solution to everything	- preregistration is good - real problem (incentive structures) must change - we need non-profit publishing
R_1BQw5o7fpp09iQk	There seem to be certain costs and benefits associated with preregistration. It is speculative, but I think preregistration limits creativity and the iterative nature of science. To suggest that we know everything prior to data collection and analysis seems problematic to me, and even a little egotistical. It also seems to anchor researchers too strongly to the ideas of the past, without providing enough room for divergent ideas to come into the fold. In contrast, preregistration can help to hold researchers accountable and to attenuate dishonest research practices. It also encourages replication, which is a growing problem in psychology. I see it as a "mixed bag" with some good and some problematic things.	mixed	improves credibility; discourages exploration/creativity		limits creativity, but it increases credibility	- preregistration prevents exploratory work  - preregistration improves credibility - preregistration prevents QRPs
R_2rSdSMDghzBIWpH	The review process of registered reports should be much shorter, reviewers should be the same in Stage 1 and Stage 2, and editors should not interfere too much in the writing of the paper.	mixed	harder, but worth it	The review process of RRs should be much shorter, reviewers should be the same in Stage 1 and Stage 2, and editors should not interfere too much in the writing of the paper.	RR is time consuming	- RRs are very time-consuming
R_cVp0suYCc6YaqdP	Pre-registration has helped me a lot to clear my ideas and go straightforward toward my reserch goals. However, is expensive in terms of preparation, and some times, is kind of discouraging when pursuing some research lines. On the other hand, pre-registering is also expensive, since stating the hypothesis in advance most of the time relies on weak studies, such that we are building hypothesis on the basis of non-replicable studies. Another thing, is that some discourses clearly prioritize pre-registered studies over the others, which increase the inequalities in research. For instance, the gold stantdard is assigned to confirmatory and pre-registered studies, which leave behind other kind of exploratory and descriptive studies. Most of the top journals are really encouraging pre-registering, but at the same time, they are spreading the idea that such studies are better, more impacful, and with more public interest, than other studies. I think that the Open science movement should try to reconcile this debate in academia, in order contribute to reduce (rather than increase) such inequalities in the production of scientific knowledge. Thanks for sending the survey. good luck with your research.	mixed	improves overall quality; inequality		bias towards non-preregistered studies, prereg is based on weak past research	- Preregistration is good - preregistration is more time-consuming - preregsitration discourages exploratory studies - stigma on studies that are not preregistered
R_3qOwtXLLb20b7yq	I think preregistration is a good thing for experimental studies but it is not relevant to exploratory approach.	mixed	inequality		not good for exploratory	- preregistration not relevant in all designs
R_w5Uu4BJQO0ruFax	I think preregistered studies might make sense for studies that rely on many assumptions to related a pattern of results to a theoretical question. I prefer putting less assumptions and more data that allows for a more complete measurement that truly challenges hypothesis, rather than using a few measurements and hoping that a few bars in chart will look as predicted.	negative	does not address real issue		good for simply hypothesis	- preregistration not relevant in all designs
R_Z7yUaiR4coMl6cp	I think preregistration is great in theory, but in practice it serves only to increase the red tape and time until publication. In today’s hyper-competitive publish-or-perish job market, it amounts to time wasted.	negative	harder, not worth it		time consuming not effective	- preregistration is time consuming - preregistration is not effective
R_1CDcy7sfuj2shJR	pregistration is pretty useless for cutting edge studies	negative	harder, not worth it		not effective	- preregistration is not effective
R_elilx1YrI4rvpm1	Nothing to add	-			na	-
R_32PV6ygVUqVQgNH	I would like to know the results when you get them. How can I do ?	-			na	-
R_1d1gXfkRb5yVS6Z	Pre-registration is nowadays a pre-requsite for publication in many journals!	mixed	makes publishing easier		preregistration is becoming a standard	- preregistration encouraged by journals
R_tKuzcqADjM9VXHj	Preregistering takes a lot of time, and the OSF website isn’t entirely intuitive. I understand the importance of it, but the amount of time and effort needed to preregister is probably the biggest reason I have avoided it in the past.	negative	time-consuming	improved OSF website	not easy to do beacuse of ux problems	- preregistration is time consuming - preregistration is a lot of effort
R_27lFXkGylUWfENM	I found the survey design somewhat confusing with the "don't know", "N/A" options all the way on the right.	-				-
R_33jbAKMLBcVgPvt	Profession researchers should be trusted, even if the trust is sometimes misplaced. Preregistration and other preemptive rules compromise the research process, erode trust and professional responsibility and damage the integrity of the research process, Ultimately, they are also ineffectual since a detailed control of what a researchers does, when and how is impossible anyway.	negative	stigmatization			- preregistration reduces trust in science - preregistration is useless - preregistration does not prevent QRPs - preregistration is too controlling
R_2rMxShXXtbdFJKc	I appreciate the rationale of preregistration, but in practice it is cumbersome, annoying, and detrimental to the research process. In my work it's hard or sometimes impossible to know how the data should be analysed before seeing its structure, distribution, etc etc - and there is no way of accounting for every possibility in the prereg.	negative	harder, not worth it; problems with exploration/adherence			- preregistration is time consuming - preregistration is a lot or effort - preregistration is not effective for all designs
R_3rURpQPgOYioM4M	Pre-registration is resource-demanding and places a high burden on small labs.	negative	inequality			- preregistration is not benefitting small labs
R_3oSBwkdF1fUn8re	The last question was difficult for me (My empirical research is mainly..), hypothesis testing, estimation, and modeling are not mutually exclusive (I think I use all of this in most of my papers).	-				-
R_3PXjqxhdoxvrFtK	For me it is just another thing to do. I know i have to do it now but I find it makes me a little more vague about hypotheses etc as I don’t want to fill in plans etc for each one.	negative	harder, not worth it			- preregistration is a lot of effort
R_1dEnbGQAcB9O3H6	preregistration is an added headache for editors and reviewers	negative	makes publishing harder			- preregistration is added effort for journals and reviewers
R_1l0Q7xfWBgvk34U	look forward to seeing the results. thanks.	-				-
R_snVzDnqN48yaeNb	Pre-Reg improves quality, which causes more work, as it should be.	mixed	harder, but worth it			- preregistration is more effort - preregistration improves credibility
R_1f7Le4wk0P1X3of	Your options above make modeling / hypothesis testing either / or -- if one derives one's empirical hypothesis from formal models, the wiggle room for questionable practices is severely  diminished. Which is why I suspect that a large point is being missed here.	-				- preregistration is not suited for all designs
