response_id	duration_in_seconds	planning	recommend	research_type	research_type_6_text	field	group	comment	changed_comment	hypothesis	design	analysis	rdm	workflow	collab	preparatory	duration	stress	qrp
R_2tna91iuu646Kj4	322	Frequently	Agree	Hypothesis testing	NA	cognitive psychology	prereg	NA	NA	5	"4
Did not change"	"7
Got more thought-through"	6	6	"4
Did not change"	"7
Improved"	2	3	Neither Agree or Disagree
R_28RMvNLmUHA7YEV	567	Always	Very Strongly Agree	Hypothesis testing	NA	developmental psychology	prereg	"Thanks for the study, it was mostly clear and easy to complete. My only suggestion -- if it even matters for your research question -- is to distinguish between ""preregistered studies that are not published but I intend to publish"" and ""preregistered studies that are not published and I do not intend to publish."" The very first question asking about the types of preregistration/registered reports we had only asked about having ""preregistered studies that I have not published"" and that captures both those who intend to publish it (e.g., I preregistered it and in the midst of data collection/analysis/writing) and those who do not (i.e., those who would be willing to admit to file-drawering). Again, I'm not sure if it matters, but those seem like two very different kinds of people."	NA	5	"7
Got more thought-through"	"7
Got more thought-through"	5	6	"4
Did not change"	5	3	"4
Did not change"	Strongly Agree
R_1KkJRil1OF1jkuO	6089	Sometimes	Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	"4
Did not change"	"4
Did not change"	6	"4
Did not change"	"4
Did not change"	Neither Agree or Disagree
R_1kHBa9PbS1hqACx	216	Usually	Strongly Agree	Hypothesis testing	NA	Socio-cognitive (evolution-minded) psychology	prereg	NA	NA	6	6	5	5	5	"4
Did not change"	"7
Improved"	3	3	Strongly Agree
R_9YrKkPVWSsfPwY1	168	Always	Strongly Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	Not applicable	6	"1
Was longer"	3	Very Strongly Agree
R_3fVIFYazPtL6Lo0	113	Usually	Strongly Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA	6	6	6	6	5	"4
Did not change"	5	"4
Did not change"	"4
Did not change"	Strongly Agree
R_3PAAgCCr2FhFNUy	341	Always	Very Strongly Disagree	Hypothesis testing	NA	Legal, clinical, and cognitive  psychology	prereg	NA	NA	"7
Got more thought-through"	6	6	"7
Got more thought-through"	6	6	"7
Improved"	"1
Was longer"	3	Very Strongly Agree
R_1mOszTVWrcCwhzz	85	Sometimes	Neither Agree or Disagree	Hypothesis testing	NA	developmental and cognitive psych	prereg	NA	NA	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	5	"4
Did not change"	Disagree
R_2WZRgMdFOz84hnm	97	Always	Strongly Agree	Hypothesis testing	NA	cognitive	prereg	NA	NA	"7
Got more thought-through"	"4
Did not change"	"7
Got more thought-through"	"7
Got more thought-through"	5	5	"7
Improved"	5	5	Very Strongly Agree
R_UtBQnLVoapyC0W5	135	Usually	Strongly Agree	Hypothesis testing	NA	social psychology	prereg	More and more in my lab we are moving toward starting each new study with an exploratory, non-pre-registered sample, to be followed up if interesting with a confirmatory, pre-registered sample. I would actually NOT recommend pre-registering initial studies, and lean against pre-registering even follow-up studies prior to collecting an exploratory sample, as resources allow.	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	"4
Did not change"	6	"7
Improved"	3	"4
Did not change"	Very Strongly Agree
R_3oEAHicMTtwhgdf	266	Usually	Strongly Agree	Hypothesis testing	NA	social, cognitive and personality psychology	prereg	NA	NA	"7
Got more thought-through"	"4
Did not change"	6	"4
Did not change"	"4
Did not change"	"4
Did not change"	5	3	"4
Did not change"	Agree
R_1rluGPuMzHJEKHs	180	Always	Very Strongly Disagree	Hypothesis testing	NA	social psychology	prereg	We preregister all of our studies, regardless of the specificity of the hypotheses and/or research questions.	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	6	"4
Did not change"	3	Strongly Agree
R_C2AMSaUaXOwGlVf	145	Frequently	Agree	Hypothesis testing	NA	Cognitive Psychology	prereg	NA	NA	5	5	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	5	Strongly Agree
R_21oXicIwbmpkgSJ	171	Occasionally	Agree	Hypothesis testing	NA	consumer behavior	prereg	NA	NA	5	"4
Did not change"	6	"4
Did not change"	"4
Did not change"	3	5	2	3	Neither Agree or Disagree
R_1QbEWXzRJfl7Jgu	148	Usually	Strongly Agree	Hypothesis testing	NA	affective neuroscience and forensic psychology	prereg	NA	NA	"7
Got more thought-through"	"4
Did not change"	6	"4
Did not change"	"4
Did not change"	"4
Did not change"	6	"4
Did not change"	"4
Did not change"	Agree
R_2rTlwP5xYSrov4I	181	Frequently	Strongly Agree	Estimation	NA	organizational psychology	prereg	NA	NA	5	5	5	5	5	"4
Did not change"	Not applicable	"4
Did not change"	"4
Did not change"	Strongly Agree
R_3sjLMgcubOQrfkq	134	Usually	Strongly Agree	Hypothesis testing	NA	Social Psychology	prereg	NA	NA	5	5	5	5	"4
Did not change"	"4
Did not change"	5	3	3	Strongly Agree
R_3pi3AGKycSF5AJg	140	Frequently	Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	3	3	Neither Agree or Disagree
R_7O68rTnwpihaTUR	253	Always	Very Strongly Agree	Hypothesis testing	NA	Cognitive. Neuroscience	prereg	For me, the registered report process was surprisingly long (to the point that I had to change the student working on it, as the original one left the lab already). I think journals must expedite this process as much as possible to make it viable.	NA	"4
Did not change"	6	"7
Got more thought-through"	"4
Did not change"	5	5	5	"1
Was longer"	"4
Did not change"	Agree
R_2rA5p0Jnit8h62h	203	Usually	Strongly Agree	Hypothesis testing	NA	Social Psychology	prereg	NA	NA	"7
Got more thought-through"	6	5	"4
Did not change"	5	"7
Got better"	"7
Improved"	2	5	Strongly Agree
R_1HbNTULAppwKuKR	185	Sometimes	Agree	Hypothesis testing	NA	cognitive psychology	prereg	NA	NA	"4
Did not change"	6	5	"4
Did not change"	5	"4
Did not change"	5	"4
Did not change"	"4
Did not change"	Agree
R_28Am0V4yAFUZCK3	332	Usually	Strongly Agree	Hypothesis testing	NA	experimental psychology	prereg	I mostly like preregistration to be able to see what researchers predicted beforehand and how they would test this (and I suppose others like that too - that is why I preregister)	NA	5	"4
Did not change"	"4
Did not change"	5	"4
Did not change"	"4
Did not change"	6	3	3	Agree
R_2Y5rttcNqfzrDmh	523	Occasionally	Agree	Hypothesis testing	NA	Evaluation	prereg	"Somehow, it feels as if the questions in this survey miss the point of registrations. Or maybe I just realised that registrations are not as powerful as I thought so far... I'm looking forward to the results of this study.  Also, I don't know if you can ""anonymise"" anything, but rather aggregate or ""pseudonymise""? Just a thought on the wording."	NA	I do not know	Not applicable	"4
Did not change"	"4
Did not change"	"4
Did not change"	3	"4
Did not change"	2	3	Disagree
R_2WD5G1noe5orgHK	199	Always	Very Strongly Agree	Hypothesis testing	NA	Behavioral neuroscience; biological psychology	prereg	NA	NA	6	"7
Got more thought-through"	"7
Got more thought-through"	5	6	6	"7
Improved"	3	"4
Did not change"	Very Strongly Agree
R_28MnkaGhYihBjP6	151	Always	Very Strongly Agree	Hypothesis testing	NA	experimental psychology	prereg	NA	NA	"4
Did not change"	"4
Did not change"	"7
Got more thought-through"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"7
Improved"	"1
Was longer"	"1
Was increased"	Strongly Agree
R_2amXG7udUh35vJq	224	Frequently	Very Strongly Agree	Hypothesis testing	NA	cognitive psychology	prereg	A major consequence of preregistration has been to increase sample sizes.	NA	"4
Did not change"	"4
Did not change"	"7
Got more thought-through"	5	5	6	5	3	"4
Did not change"	Strongly Agree
R_3agkMwoyuOxtTl7	115	Sometimes	Agree	Hypothesis testing	NA	Social Psychology; Sexuality	prereg	NA	NA	6	6	6	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	Agree
R_ReQbuKsx2C4zpPX	767	Always	Strongly Agree	Hypothesis testing	NA	Cognitive psychology	prereg	NA	NA	5	"4
Did not change"	5	6	6	"4
Did not change"	"4
Did not change"	3	3	Neither Agree or Disagree
R_2Bzi3UwteDnUVg6	703	Frequently	Very Strongly Agree	Hypothesis testing	NA	Social psychology	prereg	Having the In Principle Acceptance and knowing that your results will be published regardless of the results, and knowing that you don't need to touch the introduction and methods part again was very liberating.	NA	6	"7
Got more thought-through"	"7
Got more thought-through"	5	5	"4
Did not change"	5	5	"7
Was reduced"	Agree
R_2QtYRaJcbQFcnIS	291	Usually	Strongly Agree	Hypothesis testing	NA	evolutionary psychology	prereg	"It would have been better if you have given a clearer definition of ""preregistered study"" and ""registered report"" at the beginning of the survey."	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	5	"7
Got better"	"7
Improved"	3	"4
Did not change"	Very Strongly Agree
R_2wviPly3YQzmPqY	290	Sometimes	Agree	Hypothesis testing	NA	clinical psychology	prereg	NA	NA	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	5	"4
Did not change"	2	Agree
R_2TvfevvUaXHQnFE	250	Always	Strongly Agree	Hypothesis testing	NA	Clinical/Developmental psychology	prereg	I am very excited about all open science practices and hope to encourage others to participate. Additionally, I look forward to new processes to make this easier for everyone to implement.	NA	"7
Got more thought-through"	Not applicable	"7
Got more thought-through"	Not applicable	5	6	"7
Improved"	"4
Did not change"	6	Very Strongly Agree
R_2wSjccM17GeQh65	110	Frequently	Agree	Hypothesis testing	NA	Social/personality psychology	prereg	NA	NA	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	3	"4
Did not change"	Neither Agree or Disagree
R_88HxJ3rRIHCQo8N	313	Frequently	Agree	Hypothesis testing	NA	organizational behavior	prereg	NA	NA	"4
Did not change"	5	5	"4
Did not change"	"4
Did not change"	"4
Did not change"	5	3	3	Agree
R_2rIuRPu6H0vk1hK	227	Usually	Very Strongly Agree	Hypothesis testing	NA	Social Psychology	prereg	Good luck with your study! Looking forward to seeing the results.	NA	6	"4
Did not change"	"7
Got more thought-through"	5	6	5	6	"4
Did not change"	3	Agree
R_3Olv2hCJzD1VErq	159	Usually	Very Strongly Agree	Other	Observational	Social psychology	prereg	NA	NA	"4
Did not change"	"4
Did not change"	"4
Did not change"	5	"4
Did not change"	"4
Did not change"	"4
Did not change"	3	"4
Did not change"	Disagree
R_xbVt6VHYoVXUtO1	211	Usually	Strongly Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA	"7
Got more thought-through"	5	"7
Got more thought-through"	"7
Got more thought-through"	5	5	"4
Did not change"	3	"4
Did not change"	Strongly Agree
R_ZsDWej70K6WIWqJ	283	Always	Very Strongly Agree	Hypothesis testing	NA	Neuroscience	prereg	NA	NA	5	"4
Did not change"	3	"4
Did not change"	"4
Did not change"	"4
Did not change"	5	"4
Did not change"	5	Strongly Agree
R_3r1WNUyPtbMhcDf	79453	Sometimes	Agree	Hypothesis testing	NA	affective neuroscience	prereg	NA	NA	6	"4
Did not change"	"7
Got more thought-through"	"4
Did not change"	"4
Did not change"	5	6	3	"4
Did not change"	Strongly Agree
R_ukwh5Yz8FlgrVvP	181	Usually	Strongly Agree	Hypothesis testing	NA	decision making	prereg	The questions on the previous page would've been easier to interpret if you had asked if those things had ever happened, or ask about what usually happens. And which scale anchors were on the left or right were sometimes confusing/surprising across questions.	NA	"4
Did not change"	"4
Did not change"	5	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	3	Very Strongly Agree
R_1isTAD0RnC7YoBY	96	Frequently	Agree	Estimation	NA	Social Psychology	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	5	5	5	2	"4
Did not change"	Neither Agree or Disagree
R_24dQPmbjN63jaNt	105	Usually	Very Strongly Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA	6	6	6	6	5	6	5	3	3	Strongly Agree
R_27DQQy60GkzSXzM	219	Frequently	Strongly Agree	Hypothesis testing	NA	Computational neuroscience	prereg	Preregistration is helpful but we must remember that it is not a panacea	NA	6	6	6	6	6	5	"4
Did not change"	2	"1
Was increased"	Agree
R_1JVZN4sHSBZG4C2	836	Always	Strongly Agree	Hypothesis testing	NA	Social Psychology- focus is on sex and relationships	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got better"	"7
Improved"	2	"1
Was increased"	Very Strongly Agree
R_2uE3C20kj0Wz9TT	422	Always	Strongly Agree	Hypothesis testing	NA	Cognitive Neuroscience	prereg	NA	NA	5	5	5	5	5	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	Agree
R_2f2J8gyUq8CyL6K	96	Always	Strongly Agree	Hypothesis testing	NA	Cognitive psychology	prereg	NA	NA	6	5	5	6	6	5	5	5	5	Agree
R_vwwAEd7lzqINNL3	168	Usually	Very Strongly Agree	Hypothesis testing	NA	Social Psychology	prereg	NA	NA	5	6	"7
Got more thought-through"	"4
Did not change"	5	I do not know	"7
Improved"	"4
Did not change"	5	Very Strongly Agree
R_1eY6ADYVaDA8RUL	235	Usually	Strongly Agree	Hypothesis testing	NA	cognitive psychology	prereg	NA	NA	5	"4
Did not change"	"4
Did not change"	6	6	"4
Did not change"	6	"4
Did not change"	3	Agree
R_3F3Pe8OBbYzsxvx	122	Always	Very Strongly Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA	6	6	"7
Got more thought-through"	5	"7
Got more thought-through"	5	"7
Improved"	"4
Did not change"	3	Strongly Agree
R_qOY9ihKI8MFiFnH	300	Always	Strongly Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA	"7
Got more thought-through"	"4
Did not change"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	"4
Did not change"	"7
Improved"	6	"4
Did not change"	Very Strongly Agree
R_vH289TqtwvXNQfD	191	Usually	Very Strongly Agree	Hypothesis testing	NA	Social Psychology	prereg	Open science practices (including but not limited to preregistration) helped me get my current faculty job. For younger researchers who may worry that the extra effort and time will delay their career progress, I feel it is important that they know how much open science practices are increasingly valued by hiring committees.	NA	"7
Got more thought-through"	6	5	"4
Did not change"	5	"7
Got better"	6	3	"4
Did not change"	Strongly Agree
R_1IzamLlhxOcesXw	121	Always	Very Strongly Agree	Hypothesis testing	NA	sport science; experimental psychology	prereg	NA	NA	"7
Got more thought-through"	6	"7
Got more thought-through"	5	"4
Did not change"	"4
Did not change"	"7
Improved"	I do not know	I do not know	Strongly Agree
R_1JFRANFOfFT1gD9	251	Usually	Very Strongly Agree	Other	"I don't have a ""mainly"" type of research, but mostly NHST and Estimation for confirmatory or exploratory research"	social psychology	prereg	it helps us recognize what decisions need to be made. There were a few moments where it required me to do much more work for very little gain, but it also prohibited me to complete sloppy work.	NA	"4
Did not change"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	"4
Did not change"	"4
Did not change"	2	3	Very Strongly Agree
R_21agB31b9EVmLGP	347	Always	Very Strongly Agree	Hypothesis testing	NA	Cognitive and social psychology	prereg	After what I've seen in my field, I don't trust any research that isn't preregistered. And I don't trust any research who pushes back against preregistration.	NA	6	6	"7
Got more thought-through"	5	6	6	6	"4
Did not change"	"4
Did not change"	Very Strongly Agree
R_3oZA2TQovqHZAJK	108	Always	Strongly Agree	Hypothesis testing	NA	Attentional Bias	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	5	"4
Did not change"	3	"4
Did not change"	"4
Did not change"	3	3	Very Strongly Agree
R_32XWh9aX5EKrZXV	107	Always	Strongly Agree	Hypothesis testing	NA	cognitive	prereg	NA	NA	"7
Got more thought-through"	"4
Did not change"	"7
Got more thought-through"	5	5	"4
Did not change"	I do not know	2	5	Very Strongly Agree
R_2c8dLOR6rgINBzN	296	Usually	Strongly Agree	Other	NA	methodological psychology	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	5	"7
Got more thought-through"	"4
Did not change"	"7
Improved"	"1
Was longer"	3	Strongly Agree
R_1rp2Bgt6xrvGjf3	494	Sometimes	Neither Agree or Disagree	Hypothesis testing	NA	cognitive psychology	prereg	"Generally speaking, preregistration is a good idea. However, what really Needs to Change is the attitude of Researchers and the community. If everyone is focused on Publishing as much as possible, because Publishing as much as possible is the precondition for an academic Career, introducing preregistrations is not enough. It is so easy to Register different plans for the same study and to remain silent About that. Of Course this is not the Right Thing to do, but the same People who used questionable Research practices before, will easily find ways to transform preregistrations into a questionable (or at least worthless) Research practice. In case this happened, however, a collective expectation that one preregisters one's studies would only be a bureaucratic burden for ""honest"" Researchers and not a way of stopping questionable Research practices."	NA	"4
Did not change"	"4
Did not change"	5	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	3	3	Neither Agree or Disagree
R_10PGaJYGZFZ5Ndh	211	Sometimes	Neither Agree or Disagree	Hypothesis testing	NA	Cognitive Psychology	prereg	NA	NA	5	"4
Did not change"	"4
Did not change"	5	I do not know	"4
Did not change"	"4
Did not change"	2	"1
Was increased"	Neither Agree or Disagree
R_cv8SAMeLpk0ITzH	179	Always	Strongly Agree	Estimation	NA	behavioral genetics, behavioral economics	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	6	"7
Got better"	"7
Improved"	3	"4
Did not change"	Strongly Agree
R_2whND03jSwhMU4p	667	Usually	Agree	Hypothesis testing	NA	Experimental clinical psychology	prereg	NA	NA	5	6	6	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	Agree
R_30qo0Lbl91jAP0m	303	Frequently	Strongly Agree	Hypothesis testing	NA	organizational behvior	prereg	I find pre-registration very helpful for myself. Currently I have only done it for lab studies and not for field studies, although I plan it in the future.	NA	6	5	5	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	"7
Improved"	3	"4
Did not change"	Neither Agree or Disagree
R_2qrTKgi3gF1DAFS	167	Sometimes	Agree	Hypothesis testing	NA	cognitive neuroscience	prereg	NA	NA	6	"4
Did not change"	5	"4
Did not change"	"4
Did not change"	"4
Did not change"	"7
Improved"	3	"4
Did not change"	Strongly Agree
R_3HvlkZF7E7bcfsO	81	Usually	Agree	Hypothesis testing	NA	Social neuroscience	prereg	NA	NA	6	6	6	"4
Did not change"	"4
Did not change"	"4
Did not change"	6	"4
Did not change"	"4
Did not change"	Agree
R_XHsUNkvp0zJBWE1	134	Frequently	Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA	"4
Did not change"	"4
Did not change"	5	"4
Did not change"	"4
Did not change"	5	3	3	"4
Did not change"	Agree
R_1hWsCk170N5ejCs	155	Frequently	Agree	Hypothesis testing	NA	developmental, cognitive	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	5	"4
Did not change"	"4
Did not change"	5	"7
Improved"	"4
Did not change"	"4
Did not change"	Agree
R_YQZJ1gliM1SB1u1	184	Frequently	Very Strongly Agree	Hypothesis testing	NA	Human learning and education	prereg	NA	NA	"4
Did not change"	6	"7
Got more thought-through"	6	"4
Did not change"	5	"7
Improved"	"4
Did not change"	"4
Did not change"	Disagree
R_2zFQeakiIr2uuev	290	Sometimes	Strongly Agree	Qualitative research	NA	Consumer psychology	prereg	NA	NA	6	6	6	6	5	5	5	"4
Did not change"	"4
Did not change"	Agree
R_2aCPEPGUWlTG5Uv	406251	Usually	Agree	Hypothesis testing	NA	social cognitive psychology	prereg	NA	NA	5	5	6	6	"4
Did not change"	I do not know	5	3	3	Strongly Agree
R_eW3rlhd2GKyXrot	79	Usually	Agree	Hypothesis testing	NA	social	prereg	NA	NA	6	6	"7
Got more thought-through"	"4
Did not change"	"4
Did not change"	5	5	3	3	Agree
R_10HEBo3owVlU3yI	1488	Usually	Strongly Agree	Hypothesis testing	NA	evolutionary biology, evolutionary psychology	prereg	"Possibly, it is not a good idea to ask to check ""4"" in the attention test - it corresponds to ""not changed"" in the previous questions... It is sometimes difficult/impossible to follow the preregistered method of data analysis - a more flexible approach is usually necessary. My Results have usually two parts - the confirmatory part (which follows the preregistered protocol) and the exploratory part (which uses the methods more appropriate for the obtained data)."	NA	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	3	2	Agree
R_3PLTpjzOV5av1xu	206	Always	Strongly Agree	Hypothesis testing	NA	Experimental Psychology	prereg	NA	NA	"4
Did not change"	"4
Did not change"	"7
Got more thought-through"	"7
Got more thought-through"	5	"4
Did not change"	6	3	3	Agree
R_1dg0wEzp87rGOi2	187	Sometimes	Agree	Hypothesis testing	NA	Differential psychology	prereg	NA	NA	5	5	6	5	"4
Did not change"	"4
Did not change"	"7
Improved"	2	3	Agree
R_24kJ3nxc8jjzVzo	579	Usually	Very Strongly Agree	Hypothesis testing	NA	Developmental Psychology	prereg	Pre-registration makes you probably spent way more time at the initial steps of your research to write the pre-registration document, before you start collecting data. However, it can save a lot of time once you write the paper because you already have a good amount of work ready in your preregistration.  The only thing that refrain me to preregister all my studies, is that I am an associate professor in a country in which English is not the first language of my students. So not all of them are able to write a pre-registration for their study. I am considering still ask them to write a pre-registration in their first language, but I am worried that reviewers may not accept it as a real pre-registration.	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got better"	"7
Improved"	3	3	Very Strongly Agree
R_BRth86KL2RGT1FD	415265	Always	Very Strongly Disagree	Hypothesis testing	NA	cognitive neuroscience	prereg	NA	NA	"7
Got more thought-through"	5	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	I do not know	"7
Improved"	"1
Was longer"	"1
Was increased"	Very Strongly Agree
R_2Vf01udewtYjCGJ	284	Sometimes	Strongly Agree	Estimation	NA	Applied linguistics	prereg	NA	NA	"4
Did not change"	"4
Did not change"	"7
Got more thought-through"	"4
Did not change"	"4
Did not change"	Not applicable	Not applicable	"4
Did not change"	"4
Did not change"	Agree
R_3k6OrypK6J2aphC	621	Always	Very Strongly Agree	Hypothesis testing	NA	Social psychology	prereg	Pre-registration helped me as a protection from bad practices that my superiors have (and expect me to have). As a PhD candidate it's not easy, but everyday I get less resistance, although I couldn't convince them to make a RR. I also try to teach OS to my colleagues, and some (a few) get excited, but most are still seeing pre-registration as a complication. I hope this will change over time	NA	"7
Got more thought-through"	"4
Did not change"	"7
Got more thought-through"	"7
Got more thought-through"	5	"4
Did not change"	6	2	5	Very Strongly Agree
R_1lAFLxoIIRBypxk	257	Usually	Strongly Agree	Hypothesis testing	NA	Communication	prereg	NA	NA	"7
Got more thought-through"	5	"7
Got more thought-through"	5	5	5	6	2	3	Strongly Agree
R_11Z9zHzKw9KsMnl	120	Never	Very Strongly Agree	Estimation	NA	social	prereg	"Currenlty in industry so ""never"" to prereg above. Otherwise would be always."	NA	"7
Got more thought-through"	"4
Did not change"	"7
Got more thought-through"	"4
Did not change"	"4
Did not change"	"4
Did not change"	5	3	3	Neither Agree or Disagree
R_2QmO5XvAE60cs4w	128	Usually	Very Strongly Disagree	Hypothesis testing	NA	Organizational behavior	prereg	NA	NA	"7
Got more thought-through"	6	6	"7
Got more thought-through"	5	6	"4
Did not change"	3	6	Very Strongly Agree
R_25dh7QeTSWKwqGJ	318	Frequently	Agree	Hypothesis testing	NA	Social psych	prereg	NA	NA	6	6	"7
Got more thought-through"	"4
Did not change"	"4
Did not change"	5	6	2	3	Strongly Agree
R_3IVwjbFoO3WUblv	230	Sometimes	Neither Agree or Disagree	Hypothesis testing	NA	computational cognitive neuroscience	prereg	I have completed one pre-registered study at the request of reviewers (they wanted me to complete a pre-registered replication for some of my experiment results). So, this study was not necessarily a normal example of a pre-registered report (since it was done post-hoc).	NA	"4
Did not change"	"4
Did not change"	"4
Did not change"	"7
Got more thought-through"	"4
Did not change"	"4
Did not change"	3	"1
Was longer"	"4
Did not change"	Agree
R_W34dzkzc6gwyDq9	308	Usually	Agree	Hypothesis testing	NA	IO Psychology	prereg	Pre-registration is still not really recognised in the field of IO and especially not when you are in an interesction to computer science - they don't know what this is and why someone should do it. Additionally, reporting everything that is preregistered has the downside that the papers tend to get longer which is an issue for some journals with word limits. Plus: reviewers sometimes have even criticized that I report non-significant results	NA	6	5	5	5	6	"4
Did not change"	5	3	"4
Did not change"	Neither Agree or Disagree
R_3iJDRidtuqK8rVF	345	Usually	Very Strongly Agree	Estimation	NA	clinical epidemiology	prereg	NA	NA	"4
Did not change"	"4
Did not change"	"4
Did not change"	5	"4
Did not change"	"4
Did not change"	"4
Did not change"	3	"4
Did not change"	Strongly Agree
R_78spwG70v7kWUKd	229	Always	Strongly Agree	Hypothesis testing	NA	social psychology	prereg	Thank you for doing this study!	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	6	6	"7
Got better"	"7
Improved"	"4
Did not change"	"7
Was reduced"	Strongly Agree
R_PthdwK7RVDyqnAt	147	Always	Very Strongly Agree	Hypothesis testing	NA	Cognitive psychology	prereg	NA	NA	"4
Did not change"	6	"7
Got more thought-through"	5	"4
Did not change"	"4
Did not change"	6	3	"4
Did not change"	Very Strongly Agree
R_3F5640qxxeNi4DI	431130	Usually	Strongly Agree	Hypothesis testing	NA	social and personality psychology	prereg	Some aspect of open science that I think could use more standardization:  1) Organization of repository pages so that readers can figure out how to navigate the files without having to contact the author. E.g., READMEs that are as detailed as the ones you might find on good github pages. 2) How to report deviations from pre-registered protocols. 3) Having a pre-registration, open materials, and open data without compromising blind review.	NA	6	5	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got better"	5	"4
Did not change"	"4
Did not change"	Strongly Agree
R_3gFoMxFPMHv81Y5	133	Usually	Strongly Disagree	Modeling	NA	cognitive neuroscience	prereg	NA	NA	6	6	"7
Got more thought-through"	5	5	"4
Did not change"	6	3	3	Strongly Agree
R_2rIUJVnxbq6eVIC	323	Always	Very Strongly Agree	Hypothesis testing	NA	Developmental psychology; visual perception	prereg	I found it stressful waiting for input from collaborators when data collection was due to start imminently (e.g., if the school holidays were approaching and I needed to collect child data at that point). In terms of supervision, it gave me much more work up front at the beginning of the project, but then at the end it was very quick between end of data collection and publication. I think the pre-registration process may have made the review process easier, but I don't have evidence for that!	NA	"7
Got more thought-through"	5	5	"4
Did not change"	5	"4
Did not change"	"4
Did not change"	"4
Did not change"	"1
Was increased"	Strongly Agree
R_25Lq0FbZkgM0QKd	199	Always	Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA	"4
Did not change"	"4
Did not change"	"4
Did not change"	5	5	"4
Did not change"	6	"4
Did not change"	"4
Did not change"	Neither Agree or Disagree
R_1lzrVlezryHXFjx	185	Frequently	Agree	Hypothesis testing	NA	Social	prereg	NA	NA	6	6	5	5	"4
Did not change"	"4
Did not change"	5	3	3	Agree
R_1guSUepEKf68fPa	328	Usually	Strongly Agree	Hypothesis testing	NA	judgment and decision making / social psychology	prereg	NA	NA	6	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	"4
Did not change"	"4
Did not change"	6	3	"4
Did not change"	Very Strongly Agree
